venueType	venueTypeLabel	venueTypeDescription	curation
Q1041354	hanamichi	Plataforma adicional al escenario utilizada en el teatro kabuki	no
Q28174251	Greyhound racing stadium		no
Q61891263	museum of Asian art	type de musée d'art	no
Q124302244	ancient stadium	équipement sportif de l'Antiquité	no
Q1188223	dance hall	hall for dancing	no
Q3126170	bandstand	structure designed to accommodate bands during concerts	no
Q770881	online casino	casino operated on an internet platform	no
Q15206070	popular music venue	venue for music performances, generally smaller than a theater or concert hall	no
Q9384860	discount theater	cinema that shows films for reduced prices	no
Q107194540	puppet theater (stage box)	kind of stage	no
Q104127212	selfie museum	type of museum or installation in a museum	no
Q1306261	Stationsweg	Pilgerweg mit besonderen, durch am Weg aufgestellte Bildwerke oder Gebäude bezeichnete Andachtsstationen	no
Q126946374	seven-a-side football pitch	pitch for seven-a-side football	no
Q957433	glyptotheque	collection of sculptures	no
Q126946265	five-a-side football pitch	pitch for playing five-a-side football	no
Q100148147	18-hole golf course	golf course having 18 holes	no
Q1552993	perspective stage	Bühnenform	no
Q2293148	sculpture trail	type of trail	no
Q102384661	ball game field	sports field where ball games are played	no
Q2121769	Quacke	German term for smaller climbing rocks	no
Q1415133	film museum	museum specialising in film and cinema history	no
Q80096168	circus museum	museum about the circus arts	no
Q15303456	rugby union venue	venue for rugby union matches	no
Q357380	indoor swimming pool	swimming pool enclosed by a building or other structure and covered by a roof	no
Q1434352	river swimming bath	swimming pool, the water surface of which is located in a flowing body of water	no
Q25476410	mosaics museum	tipo de museo	no
Q1684522	jazz club	type of club, music venue, dedicated to jazz music	no
Q2084454	Olympic-size swimming pool	olympic swimming pool	no
Q741118	tennis court	venue where the sport of tennis is played	no
Q21200006	cycling track	surface for the practise of cycling	no
Q24887670	horse field		no
Q121072334	parcours 18 trous	type d'équipement sportif	no
Q26945172	dance museum	museum specialising in the history of dance	no
Q14213925	Tafelberg Reef	group of offshore dive sites off Karbonkelberg on the Cape Peninsula west coast	no
Q14213719	Castle Rocks	group of shoreline and inshore recreational dive sites near Miller's Point on the Cape Peninsula east coast	no
Q41768182	inland dive site	dive site which is within the coastline of a landmass	no
Q3364880	parcours de concours de saut d'obstacles	type d'équipement sportif	no
Q53585538	harness racing venue	type of horse racing venue	no
Q184949	hippodrome	ancient Greek structure for horse and chariot racing	no
Q41768382	offshore dive site	dive site too far from the shore for reasonable shore access	no
Q1142866	frigidarium	cold room of a Roman bath, sometimes including a cold plunge pool	no
Q119351997	horological museum	museum dedicated to horology	no
Q4728370	all-seater stadium	stadium in which every spectator has a seat	no
Q13823810	medialuna	crescent-shaped corral used for rodeos	no
Q107537774	private art museum		no
Q114023739	photographic art gallery		no
Q577635	antelope house	building in a zoo	no
Q131560554	puppet museum	type of museum with a collection of puppets	no
Q7157937	Peanut gallery	term for inexpensive seating in a theater	part
Q127867660	bouldering wall	artificial wall for bouldering	part
Q253227	revolving stage	mechanically controlled platform within a theatre that can be rotated in order to speed up the changing of scenes	part
Q16573336	balcony	seating area in a theater	part
Q1868004	box	seating area in a theater	part
Q2083498	Pfeiferstuhl	erhöhter Platz, auf dem die Spielleute zum Tanz aufspielten	part
Q1491843	The gods	seating area in a theater	part
